Chromosome,Position,rsID,Prokopenko_Nearest_protein-coding gene,Prokopenko_VEP_consequence,Prokopenko_VEP_impact,Prokopenko_VEP_gene_symbol,Allele_frequency_gnomAD_V3,Prokopenko_Discovery_P-value,Prokopenko_Replication_P-value,Prokopenko_Effect direction,Prokopenko_META_P-value
1,238765356,rs180741299,MTRNR2L11,intergenic_variant,MODIFIER,-,0.00363867,0.000447,0.439315,+-,0.574116019
21,22682312,rs145933180,NCAM2,intergenic_variant,MODIFIER,-,0.00378999,0.000449,0.220108,-+,0.334044181
18,34850327,rs117127098,DTNA,intron_variant,MODIFIER,DTNA,0.00385152,0.00045,0.551144,+-,0.686948224
11,76159301,rs75938555,UVRAG,intergenic_variant,MODIFIER,-,0.0406273,0.000457,0.371193,+-,0.5598933
11,112460332,rs113778340,PTS,"intron_variant,non_coding_transcript_variant",MODIFIER,LINC02763,0.0038534,0.000461,0.725183,+-,0.887869942
11,112487418,rs112369195,PTS,"intron_variant,non_coding_transcript_variant",MODIFIER,LINC02763,0.00383896,0.000461,0.776284,++,0.622012587
1,201695010,rs114572611,NAV1,intron_variant,MODIFIER,NAV1,0.0065515,0.000462,0.31696,--,0.220575221
17,35299062,rs189937668,SLFN5,regulatory_region_variant,MODIFIER,-,0.00406498,0.000465,0.37504,--,0.273516636
19,52010422,rs117844015,ZNF615,downstream_gene_variant,MODIFIER,ZNF614,0.0040983,0.000465,0.476378,-+,0.616371123
19,52055863,rs139820792,ZNF432,downstream_gene_variant,MODIFIER,AC011468.1,0.00428484,0.000465,0.438397,-+,0.572754132
3,188210699,rs145836315,LPP,upstream_gene_variant,MODIFIER,LPP,0.00330936,0.000474,0.577781,--,0.434802495
1,99253855,rs78592283,PLPPR4,intergenic_variant,MODIFIER,-,0.00633512,0.000475,0.280151,+-,0.449049862
1,99255761,rs142546345,PLPPR4,intergenic_variant,MODIFIER,-,0.00634449,0.000475,0.280151,+-,0.449049862
1,99256442,rs114749155,PLPPR4,intergenic_variant,MODIFIER,-,0.0063436,0.000475,0.277732,+-,0.446060004
1,99261848,rs144566064,PLPPR4,upstream_gene_variant,MODIFIER,PLPPR4,0.00632478,0.000475,0.211728,+-,0.354965907
1,99263308,rs115172061,PLPPR4,upstream_gene_variant,MODIFIER,PLPPR4,0.00631869,0.000475,0.280151,+-,0.449049862
1,99268991,rs142163949,PLPPR4,intron_variant,MODIFIER,PLPPR4,0.00631692,0.000475,0.211728,+-,0.354965907
1,99269823,rs116177951,PLPPR4,intron_variant,MODIFIER,PLPPR4,0.00632593,0.000475,0.211728,+-,0.354965907
1,99270284,rs142942536,PLPPR4,intron_variant,MODIFIER,PLPPR4,0.00632514,0.000475,0.211728,+-,0.354965907
1,99270336,rs79285667,PLPPR4,intron_variant,MODIFIER,PLPPR4,0.00632673,0.000475,0.211728,+-,0.354965907
1,99276982,rs114499301,PLPPR4,intron_variant,MODIFIER,PLPPR4,0.00632682,0.000475,0.21037,+-,0.352889086
1,99278353,rs1869889,PLPPR4,intron_variant,MODIFIER,PLPPR4,0.00631824,0.000475,0.280151,+-,0.449049862
1,99283534,rs116126505,PLPPR4,intron_variant,MODIFIER,PLPPR4,0.00630015,0.000475,0.181885,+-,0.31201643
7,150989469,rs114840144,NOS3,upstream_gene_variant,MODIFIER,NOS3,0.0196461,0.000475,0.550501,++,0.411076897
7,150990640,rs79845382,NOS3,upstream_gene_variant,MODIFIER,NOS3,0.0196667,0.000475,0.206145,++,0.137014811
7,150990717,rs79107117,NOS3,upstream_gene_variant,MODIFIER,NOS3,0.019666,0.000475,0.550501,++,0.411076897
7,150991391,rs61760643,NOS3,intron_variant,MODIFIER,NOS3,0.0196703,0.000475,0.550501,++,0.411076897
9,85920374,rs34652608,NAA35,intergenic_variant,MODIFIER,-,0.0431854,0.000476,NA,-?,0.000475841
1,93731373,rs142495396,BCAR3,intron_variant,MODIFIER,BCAR3,0.00507862,0.000478,0.270121,--,0.179920453
1,93820009,rs146206321,BCAR3,intron_variant,MODIFIER,BCAR3,0.00508224,0.000478,0.269408,--,0.179271974
18,1929312,rs115955440,METTL4,upstream_gene_variant,MODIFIER,AIDAP3,0.0114752,0.000479,NA,-?,0.000479418
9,84044800,rs111636706,RMI1,intergenic_variant,MODIFIER,-,0.0267201,0.00048,NA,-?,0.000479418
9,84046730,rs60889426,RMI1,intergenic_variant,MODIFIER,-,0.0270143,0.00048,NA,-?,0.000479418
5,107174672,rs183771401,EFNA5,intergenic_variant,MODIFIER,-,0.00208133,0.000481,0.505985,++,0.37400308
5,107247683,rs186000337,EFNA5,regulatory_region_variant,MODIFIER,-,0.00217765,0.000481,0.137434,++,0.087636342
17,57384394,rs4793851,MSI2,intron_variant,MODIFIER,MSI2,0.038164,0.000481,0.761836,++,0.576844384
17,57384967,rs7342859,MSI2,intron_variant,MODIFIER,MSI2,0.033336,0.000481,0.761836,++,0.576844384
17,57385795,rs8072123,MSI2,intron_variant,MODIFIER,MSI2,0.038545,0.000481,0.761836,++,0.576844384
11,80028804,rs139222408,TENM4,intergenic_variant,MODIFIER,-,0.00545521,0.000483,0.649255,+-,0.776410381
14,41662188,rs74458461,LRFN5,intron_variant,MODIFIER,LRFN5,0.00305244,0.000484,0.0740386,-+,0.106527426
5,72135401,rs115656457,MAP1B,intron_variant,MODIFIER,MAP1B,0.00457838,0.000488,0.853118,++,0.631938629
5,36549592,rs116341419,SLC1A3,intergenic_variant,MODIFIER,-,0.0295863,0.000492,NA,+?,0.000492137
5,36561183,rs115822831,SLC1A3,intergenic_variant,MODIFIER,-,0.0297122,0.000492,NA,+?,0.000492137
5,36576707,rs75862583,SLC1A3,intergenic_variant,MODIFIER,-,0.028206,0.000492,NA,+?,0.000492137
1,93438810,rs191901078,FNBP1L,regulatory_region_variant,MODIFIER,-,0.00373457,0.000493,0.11422,--,0.074261317
1,93550313,rs192471919,FNBP1L,intron_variant,MODIFIER,FNBP1L,0.00365835,0.000493,0.029105,--,0.016986491
14,92625637,rs75095051,RIN3,intron_variant,MODIFIER,RIN3,0.0398327,0.000493,NA,-?,0.000492137
18,73039984,rs2469003,NETO1,regulatory_region_variant,MODIFIER,-,0.0336499,0.000494,NA,+?,0.000493979
18,73040704,rs2194630,NETO1,intergenic_variant,MODIFIER,-,0.0320928,0.000494,NA,+?,0.000493979
18,73043823,rs2469006,NETO1,regulatory_region_variant,MODIFIER,-,0.0299024,0.000494,NA,+?,0.000493979
18,73046482,rs2469011,NETO1,intergenic_variant,MODIFIER,-,0.0293838,0.000494,NA,+?,0.000493979
18,73046492,rs2469012,NETO1,intergenic_variant,MODIFIER,-,0.0161973,0.000494,NA,+?,0.000493979
18,73048261,rs2432844,NETO1,intergenic_variant,MODIFIER,-,0.0294855,0.000494,NA,+?,0.000493979
18,73048327,rs2432845,NETO1,intergenic_variant,MODIFIER,-,0.0295265,0.000494,NA,+?,0.000493979
13,26609231,rs150084496,WASF3,intron_variant,MODIFIER,WASF3,0.00308625,0.000495,0.380563,+-,0.504772133
